CHANGE,CODE,CONFIG,Digits,FILE,HELP,HTMLVER,"HTML_FILE",Image,ImageName,NEXTPAGE,Page,QALIAS,QNikto,Qname,"_raw","_time",action,app,az,basehref,branch,bytes,c,calbirthdays,"cart_id",cartid,cartname,category,classification,clientip,comma,command,cookie,cvsroot,date,"date_hour","date_mday","date_minute","date_month","date_second","date_wday","date_year","date_zone",day,desc,"dest_ip","dest_port",dn,etype,eventtype,file,filename,folder,foot,forum,"generator_id",head,host,hours,ident,index,key,linecount,method,module,name,next,other,pa,page,param1,passurl,person,priority,proto,protocol,punct,query,referer,"referer_domain","req_time",root,sd,setup,severity,signature,"signature_rev",sortby,source,sourcetype,"splunk_server","splunk_server_group","src_ip","src_port",status,tag,"tag::eventtype",template,timeendpos,timestartpos,uri,"uri_domain","uri_path","uri_query",user,useragent,version,view,who
,,,,,,,,,,,,,,,"116.122.36.248 - - [24/Jun/2014:11:08:22 -0700] ""POST /cgi-bin/php4?%2D%64+%61%6C%6C%6F%77%5F%75%72%6C%5F%69%6E%63%6C%75%64%65%3D%6F%6E+%2D%64+%73%61%66%65%5F%6D%6F%64%65%3D%6F%66%66+%2D%64+%73%75%68%6F%73%69%6E%2E%73%69%6D%75%6C%61%74%69%6F%6E%3D%6F%6E+%2D%64+%64%69%73%61%62%6C%65%5F%66%75%6E%63%74%69%6F%6E%73%3D%22%22+%2D%64+%6F%70%65%6E%5F%62%61%73%65%64%69%72%3D%6E%6F%6E%65+%2D%64+%61%75%74%6F%5F%70%72%65%70%65%6E%64%5F%66%69%6C%65%3D%70%68%70%3A%2F%2F%69%6E%70%75%74+%2D%64+%63%67%69%2E%66%6F%72%63%65%5F%72%65%64%69%72%65%63%74%3D%30+%2D%64+%63%67%69%2E%72%65%64%69%72%65%63%74%5F%73%74%61%74%75%73%5F%65%6E%76%3D%30+%2D%6E HTTP/1.1"" 404 287 ""-"" ""Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)""","2014-06-24T11:08:22.000-0700",,,,,,,,,,,,,,"116.122.36.248",,,,,,11,24,8,june,22,tuesday,2014,"-420",,,,,,,,,,,,,,,Network1HP,,,main,,1,,,,,,,,,,,,,,"..._-_-_[//:::_-]_""_/-/?%%+%%%%%%%%%%%%%%%%%%%%+%%",,,,,,,,,,,,"/home/raz/Github/2015SecAnalysis/network1/httpd/access_log-20140625","access_log-too_small",RazLT,,,,,,,,46,20,,,,,,,,,
,,,,,,,,,,,,,,,"116.122.36.248 - - [24/Jun/2014:11:08:22 -0700] ""POST /cgi-bin/php?%2D%64+%61%6C%6C%6F%77%5F%75%72%6C%5F%69%6E%63%6C%75%64%65%3D%6F%6E+%2D%64+%73%61%66%65%5F%6D%6F%64%65%3D%6F%66%66+%2D%64+%73%75%68%6F%73%69%6E%2E%73%69%6D%75%6C%61%74%69%6F%6E%3D%6F%6E+%2D%64+%64%69%73%61%62%6C%65%5F%66%75%6E%63%74%69%6F%6E%73%3D%22%22+%2D%64+%6F%70%65%6E%5F%62%61%73%65%64%69%72%3D%6E%6F%6E%65+%2D%64+%61%75%74%6F%5F%70%72%65%70%65%6E%64%5F%66%69%6C%65%3D%70%68%70%3A%2F%2F%69%6E%70%75%74+%2D%64+%63%67%69%2E%66%6F%72%63%65%5F%72%65%64%69%72%65%63%74%3D%30+%2D%64+%63%67%69%2E%72%65%64%69%72%65%63%74%5F%73%74%61%74%75%73%5F%65%6E%76%3D%30+%2D%6E HTTP/1.1"" 404 286 ""-"" ""Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)""","2014-06-24T11:08:22.000-0700",,,,,,,,,,,,,,"116.122.36.248",,,,,,11,24,8,june,22,tuesday,2014,"-420",,,,,,,,,,,,,,,Network1HP,,,main,,1,,,,,,,,,,,,,,"..._-_-_[//:::_-]_""_/-/?%%+%%%%%%%%%%%%%%%%%%%%+%%",,,,,,,,,,,,"/home/raz/Github/2015SecAnalysis/network1/httpd/access_log-20140625","access_log-too_small",RazLT,,,,,,,,46,20,,,,,,,,,
,,,,,,,,,,,,,,,"[Tue Jun 24 11:08:22 2014] [error] [client 116.122.36.248] script not found or unable to stat: /var/www/cgi-bin/php4","2014-06-24T11:08:22.000-0700",,,,,,,,,,,,,,,,,,,,11,24,8,june,22,tuesday,2014,local,,,,,,,,,,,,,,,Network1HP,,,main,,1,,,,,,,,,,,,,,"[___::_]_[]_[_...]_______:_///-/",,,,,,,,,,,,"/home/raz/Github/2015SecAnalysis/network1/httpd/error_log-20140625","apache_error",RazLT,,,,,,,,26,0,,,,,,,,,
,,,,,,,,,,,,,,,"[Tue Jun 24 11:08:22 2014] [error] [client 116.122.36.248] script not found or unable to stat: /var/www/cgi-bin/php","2014-06-24T11:08:22.000-0700",,,,,,,,,,,,,,,,,,,,11,24,8,june,22,tuesday,2014,local,,,,,,,,,,,,,,,Network1HP,,,main,,1,,,,,,,,,,,,,,"[___::_]_[]_[_...]_______:_///-/",,,,,,,,,,,,"/home/raz/Github/2015SecAnalysis/network1/httpd/error_log-20140625","apache_error",RazLT,,,,,,,,26,0,,,,,,,,,
,,,,,,,,,,,,,,,"116.122.36.248 - - [24/Jun/2014:11:08:21 -0700] ""POST /cgi-bin/php-cgi?%2D%64+%61%6C%6C%6F%77%5F%75%72%6C%5F%69%6E%63%6C%75%64%65%3D%6F%6E+%2D%64+%73%61%66%65%5F%6D%6F%64%65%3D%6F%66%66+%2D%64+%73%75%68%6F%73%69%6E%2E%73%69%6D%75%6C%61%74%69%6F%6E%3D%6F%6E+%2D%64+%64%69%73%61%62%6C%65%5F%66%75%6E%63%74%69%6F%6E%73%3D%22%22+%2D%64+%6F%70%65%6E%5F%62%61%73%65%64%69%72%3D%6E%6F%6E%65+%2D%64+%61%75%74%6F%5F%70%72%65%70%65%6E%64%5F%66%69%6C%65%3D%70%68%70%3A%2F%2F%69%6E%70%75%74+%2D%64+%63%67%69%2E%66%6F%72%63%65%5F%72%65%64%69%72%65%63%74%3D%30+%2D%64+%63%67%69%2E%72%65%64%69%72%65%63%74%5F%73%74%61%74%75%73%5F%65%6E%76%3D%30+%2D%6E HTTP/1.1"" 404 290 ""-"" ""Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)""","2014-06-24T11:08:21.000-0700",,,,,,,,,,,,,,"116.122.36.248",,,,,,11,24,8,june,21,tuesday,2014,"-420",,,,,,,,,,,,,,,Network1HP,,,main,,1,,,,,,,,,,,,,,"..._-_-_[//:::_-]_""_/-/-?%%+%%%%%%%%%%%%%%%%%%%%+%",,,,,,,,,,,,"/home/raz/Github/2015SecAnalysis/network1/httpd/access_log-20140625","access_log-too_small",RazLT,,,,,,,,46,20,,,,,,,,,
,,,,,,,,,,,,,,,"116.122.36.248 - - [24/Jun/2014:11:08:21 -0700] ""POST /cgi-bin/php.cgi?%2D%64+%61%6C%6C%6F%77%5F%75%72%6C%5F%69%6E%63%6C%75%64%65%3D%6F%6E+%2D%64+%73%61%66%65%5F%6D%6F%64%65%3D%6F%66%66+%2D%64+%73%75%68%6F%73%69%6E%2E%73%69%6D%75%6C%61%74%69%6F%6E%3D%6F%6E+%2D%64+%64%69%73%61%62%6C%65%5F%66%75%6E%63%74%69%6F%6E%73%3D%22%22+%2D%64+%6F%70%65%6E%5F%62%61%73%65%64%69%72%3D%6E%6F%6E%65+%2D%64+%61%75%74%6F%5F%70%72%65%70%65%6E%64%5F%66%69%6C%65%3D%70%68%70%3A%2F%2F%69%6E%70%75%74+%2D%64+%63%67%69%2E%66%6F%72%63%65%5F%72%65%64%69%72%65%63%74%3D%30+%2D%64+%63%67%69%2E%72%65%64%69%72%65%63%74%5F%73%74%61%74%75%73%5F%65%6E%76%3D%30+%2D%6E HTTP/1.1"" 404 290 ""-"" ""Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)""","2014-06-24T11:08:21.000-0700",,,,,,,,,,,,,,"116.122.36.248",,,,,,11,24,8,june,21,tuesday,2014,"-420",,,,,,,,,,,,,,,Network1HP,,,main,,1,,,,,,,,,,,,,,"..._-_-_[//:::_-]_""_/-/.?%%+%%%%%%%%%%%%%%%%%%%%+%",,,,,,,,,,,,"/home/raz/Github/2015SecAnalysis/network1/httpd/access_log-20140625","access_log-too_small",RazLT,,,,,,,,46,20,,,,,,,,,
,,,,,,,,,,,,,,,"[Tue Jun 24 11:08:21 2014] [error] [client 116.122.36.248] script not found or unable to stat: /var/www/cgi-bin/php-cgi","2014-06-24T11:08:21.000-0700",,,,,,,,,,,,,,,,,,,,11,24,8,june,21,tuesday,2014,local,,,,,,,,,,,,,,,Network1HP,,,main,,1,,,,,,,,,,,,,,"[___::_]_[]_[_...]_______:_///-/-",,,,,,,,,,,,"/home/raz/Github/2015SecAnalysis/network1/httpd/error_log-20140625","apache_error",RazLT,,,,,,,,26,0,,,,,,,,,
,,,,,,,,,,,,,,,"[Tue Jun 24 11:08:21 2014] [error] [client 116.122.36.248] script not found or unable to stat: /var/www/cgi-bin/php.cgi","2014-06-24T11:08:21.000-0700",,,,,,,,,,,,,,,,,,,,11,24,8,june,21,tuesday,2014,local,,,,,,,,,,,,,,,Network1HP,,,main,,1,,,,,,,,,,,,,,"[___::_]_[]_[_...]_______:_///-/.",,,,,,,,,,,,"/home/raz/Github/2015SecAnalysis/network1/httpd/error_log-20140625","apache_error",RazLT,,,,,,,,26,0,,,,,,,,,
,,,,,,,,,,,,,,,"116.122.36.248 - - [24/Jun/2014:11:08:20 -0700] ""POST /cgi-bin/php5?%2D%64+%61%6C%6C%6F%77%5F%75%72%6C%5F%69%6E%63%6C%75%64%65%3D%6F%6E+%2D%64+%73%61%66%65%5F%6D%6F%64%65%3D%6F%66%66+%2D%64+%73%75%68%6F%73%69%6E%2E%73%69%6D%75%6C%61%74%69%6F%6E%3D%6F%6E+%2D%64+%64%69%73%61%62%6C%65%5F%66%75%6E%63%74%69%6F%6E%73%3D%22%22+%2D%64+%6F%70%65%6E%5F%62%61%73%65%64%69%72%3D%6E%6F%6E%65+%2D%64+%61%75%74%6F%5F%70%72%65%70%65%6E%64%5F%66%69%6C%65%3D%70%68%70%3A%2F%2F%69%6E%70%75%74+%2D%64+%63%67%69%2E%66%6F%72%63%65%5F%72%65%64%69%72%65%63%74%3D%30+%2D%64+%63%67%69%2E%72%65%64%69%72%65%63%74%5F%73%74%61%74%75%73%5F%65%6E%76%3D%30+%2D%6E HTTP/1.1"" 404 287 ""-"" ""Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)""","2014-06-24T11:08:20.000-0700",,,,,,,,,,,,,,"116.122.36.248",,,,,,11,24,8,june,20,tuesday,2014,"-420",,,,,,,,,,,,,,,Network1HP,,,main,,1,,,,,,,,,,,,,,"..._-_-_[//:::_-]_""_/-/?%%+%%%%%%%%%%%%%%%%%%%%+%%",,,,,,,,,,,,"/home/raz/Github/2015SecAnalysis/network1/httpd/access_log-20140625","access_log-too_small",RazLT,,,,,,,,46,20,,,,,,,,,
,,,,,,,,,,,,,,,"[Tue Jun 24 11:08:20 2014] [error] [client 116.122.36.248] script not found or unable to stat: /var/www/cgi-bin/php5","2014-06-24T11:08:20.000-0700",,,,,,,,,,,,,,,,,,,,11,24,8,june,20,tuesday,2014,local,,,,,,,,,,,,,,,Network1HP,,,main,,1,,,,,,,,,,,,,,"[___::_]_[]_[_...]_______:_///-/",,,,,,,,,,,,"/home/raz/Github/2015SecAnalysis/network1/httpd/error_log-20140625","apache_error",RazLT,,,,,,,,26,0,,,,,,,,,
