"_raw","_time",app,bytes,clientip,cookie,"date_hour","date_mday","date_minute","date_month","date_second","date_wday","date_year","date_zone",eventtype,file,host,ident,index,linecount,method,other,protocol,punct,referer,"referer_domain","req_time",root,source,sourcetype,"splunk_server","splunk_server_group",status,tag,"tag::eventtype",timeendpos,timestartpos,uri,"uri_domain","uri_path","uri_query",user,useragent,version
"61.147.67.88 - - [22/Jun/2014:23:41:56 -0700] ""GET /MyAdmin/scripts/setup.php HTTP/1.1"" 404 300 ""-"" ""ZmEu""","2014-06-22T23:41:56.000-0700",,,,,23,22,41,june,56,sunday,2014,"-420",,,Network1HP,,main,1,,,,"..._-_-_[//:::_-]_""_///._/.""___""-""_""""",,,,,"/home/raz/Github/2015SecAnalysis/network1/httpd/access_log-20140623","access_log-too_small",RazLT,,,,,44,18,,,,,,,
"61.147.67.88 - - [22/Jun/2014:23:41:56 -0700] ""GET /myadmin/scripts/setup.php HTTP/1.1"" 404 300 ""-"" ""ZmEu""","2014-06-22T23:41:56.000-0700",,,,,23,22,41,june,56,sunday,2014,"-420",,,Network1HP,,main,1,,,,"..._-_-_[//:::_-]_""_///._/.""___""-""_""""",,,,,"/home/raz/Github/2015SecAnalysis/network1/httpd/access_log-20140623","access_log-too_small",RazLT,,,,,44,18,,,,,,,
"61.147.67.88 - - [22/Jun/2014:23:41:55 -0700] ""GET /pma/scripts/setup.php HTTP/1.1"" 404 296 ""-"" ""ZmEu""","2014-06-22T23:41:55.000-0700",,,,,23,22,41,june,55,sunday,2014,"-420",,,Network1HP,,main,1,,,,"..._-_-_[//:::_-]_""_///._/.""___""-""_""""",,,,,"/home/raz/Github/2015SecAnalysis/network1/httpd/access_log-20140623","access_log-too_small",RazLT,,,,,44,18,,,,,,,
"61.147.67.88 - - [22/Jun/2014:23:41:55 -0700] ""GET /phpmyadmin/scripts/setup.php HTTP/1.1"" 404 303 ""-"" ""ZmEu""","2014-06-22T23:41:55.000-0700",,,,,23,22,41,june,55,sunday,2014,"-420",,,Network1HP,,main,1,,,,"..._-_-_[//:::_-]_""_///._/.""___""-""_""""",,,,,"/home/raz/Github/2015SecAnalysis/network1/httpd/access_log-20140623","access_log-too_small",RazLT,,,,,44,18,,,,,,,
"61.147.67.88 - - [22/Jun/2014:23:41:54 -0700] ""GET /phpMyAdmin/scripts/setup.php HTTP/1.1"" 404 303 ""-"" ""ZmEu""","2014-06-22T23:41:54.000-0700",,,,,23,22,41,june,54,sunday,2014,"-420",,,Network1HP,,main,1,,,,"..._-_-_[//:::_-]_""_///._/.""___""-""_""""",,,,,"/home/raz/Github/2015SecAnalysis/network1/httpd/access_log-20140623","access_log-too_small",RazLT,,,,,44,18,,,,,,,
"61.147.67.88 - - [22/Jun/2014:23:41:54 -0700] ""GET /w00tw00t.at.blackhats.romanian.anti-sec:) HTTP/1.1"" 404 316 ""-"" ""ZmEu""","2014-06-22T23:41:54.000-0700",,,,,23,22,41,june,54,sunday,2014,"-420",,,Network1HP,,main,1,,,,"..._-_-_[//:::_-]_""_/....-:)_/.""___""-""_""""",,,,,"/home/raz/Github/2015SecAnalysis/network1/httpd/access_log-20140623","access_log-too_small",RazLT,,,,,44,18,,,,,,,
"94.102.49.31 - - [22/Jun/2014:15:54:15 -0700] ""GET /scripts/setup.php HTTP/1.1"" 404 292 ""-"" ""ZmEu""","2014-06-22T15:54:15.000-0700",,,,,15,22,54,june,15,sunday,2014,"-420",,,Network1HP,,main,1,,,,"..._-_-_[//:::_-]_""_//._/.""___""-""_""""",,,,,"/home/raz/Github/2015SecAnalysis/network1/httpd/access_log-20140623","access_log-too_small",RazLT,,,,,44,18,,,,,,,
"94.102.49.31 - - [22/Jun/2014:15:54:15 -0700] ""GET /mysqladmin/scripts/setup.php HTTP/1.1"" 404 303 ""-"" ""ZmEu""","2014-06-22T15:54:15.000-0700",,,,,15,22,54,june,15,sunday,2014,"-420",,,Network1HP,,main,1,,,,"..._-_-_[//:::_-]_""_///._/.""___""-""_""""",,,,,"/home/raz/Github/2015SecAnalysis/network1/httpd/access_log-20140623","access_log-too_small",RazLT,,,,,44,18,,,,,,,
"94.102.49.31 - - [22/Jun/2014:15:54:15 -0700] ""GET /MyAdmin/scripts/setup.php HTTP/1.1"" 404 300 ""-"" ""ZmEu""","2014-06-22T15:54:15.000-0700",,,,,15,22,54,june,15,sunday,2014,"-420",,,Network1HP,,main,1,,,,"..._-_-_[//:::_-]_""_///._/.""___""-""_""""",,,,,"/home/raz/Github/2015SecAnalysis/network1/httpd/access_log-20140623","access_log-too_small",RazLT,,,,,44,18,,,,,,,
"94.102.49.31 - - [22/Jun/2014:15:54:14 -0700] ""GET /myadmin/scripts/setup.php HTTP/1.1"" 404 300 ""-"" ""ZmEu""","2014-06-22T15:54:14.000-0700",,,,,15,22,54,june,14,sunday,2014,"-420",,,Network1HP,,main,1,,,,"..._-_-_[//:::_-]_""_///._/.""___""-""_""""",,,,,"/home/raz/Github/2015SecAnalysis/network1/httpd/access_log-20140623","access_log-too_small",RazLT,,,,,44,18,,,,,,,
