D,Language,"_raw","_time",action,app,author,c,checkemail,clientip,d,"date_hour","date_mday","date_minute","date_month","date_second","date_wday","date_year","date_zone",dir,"doing_wp_cron",eventtype,host,index,linecount,load,p,pagenow,plugin,"plugin_search_input",protocol,punct,reauth,"redirect_to",s,"settings_updated",source,sourcetype,"splunk_server","splunk_server_group",step,submit,tab,tag,"tag::eventtype",test,theme,timeendpos,timestartpos,username,ver,widget,wpnonce
,,"96.55.197.75 - - [24/May/2014:23:56:49 -0700] ""GET /favicon.ico HTTP/1.1"" 200 -","2014-05-24T23:56:49.000-0700",,,,,,"96.55.197.75",,23,24,56,may,49,saturday,2014,"-420",,,,Network2HP,main,1,,,,,,,"..._-_-_[//:::_-]_""_/._/.""__-",,,,,"access_log","access_log",RazLT,,,,,,,,,44,18,,,,
,,"96.55.197.75 - - [24/May/2014:23:56:49 -0700] ""GET /favicon.ico HTTP/1.1"" 200 -","2014-05-24T23:56:49.000-0700",,,,,,"96.55.197.75",,23,24,56,may,49,saturday,2014,"-420",,,,Network2HP,main,1,,,,,,,"..._-_-_[//:::_-]_""_/._/.""__-",,,,,"access_log","access_log",RazLT,,,,,,,,,44,18,,,,
,,"96.55.197.75 - - [24/May/2014:23:56:49 -0700] ""GET /wp-admin/images/button-grad.png HTTP/1.1"" 200 243","2014-05-24T23:56:49.000-0700",,,,,,"96.55.197.75",,23,24,56,may,49,saturday,2014,"-420",,,,Network2HP,main,1,,,,,,,"..._-_-_[//:::_-]_""_/-//-._/.""__",,,,,"access_log","access_log",RazLT,,,,,,,,,44,18,,,,
,,"96.55.197.75 - - [24/May/2014:23:56:49 -0700] ""GET /wp-admin/images/logo-login.png HTTP/1.1"" 200 8891","2014-05-24T23:56:49.000-0700",,,,,,"96.55.197.75",,23,24,56,may,49,saturday,2014,"-420",,,,Network2HP,main,1,,,,,,,"..._-_-_[//:::_-]_""_/-//-._/.""__",,,,,"access_log","access_log",RazLT,,,,,,,,,44,18,,,,
,,"96.55.197.75 - - [24/May/2014:23:56:49 -0700] ""GET /wp-admin/css/wp-admin.css?ver=20111208 HTTP/1.1"" 200 104204","2014-05-24T23:56:49.000-0700",,,,,,"96.55.197.75",,23,24,56,may,49,saturday,2014,"-420",,,,Network2HP,main,1,,,,,,,"..._-_-_[//:::_-]_""_/-//-.?=_/.""__",,,,,"access_log","access_log",RazLT,,,,,,,,,44,18,,20111208,,
,,"96.55.197.75 - - [24/May/2014:23:56:49 -0700] ""GET /wp-admin/css/colors-fresh.css?ver=20111206 HTTP/1.1"" 200 34571","2014-05-24T23:56:49.000-0700",,,,,,"96.55.197.75",,23,24,56,may,49,saturday,2014,"-420",,,,Network2HP,main,1,,,,,,,"..._-_-_[//:::_-]_""_/-//-.?=_/.""__",,,,,"access_log","access_log",RazLT,,,,,,,,,44,18,,20111206,,
,,"96.55.197.75 - - [24/May/2014:23:56:49 -0700] ""GET /wp-login.php?redirect_to=http%3A%2F%2F96.55.197.75%2Fwp-admin%2Fcomment.php%3Faction%3Ddeletecomment%26p%3D14%26c%3D%2527%253E%253Escript%253Ealert%28document.cookie%29%253C%2Fscript%253E&reauth=1 HTTP/1.1"" 200 1017","2014-05-24T23:56:49.000-0700",,,,,,"96.55.197.75",,23,24,56,may,49,saturday,2014,"-420",,,,Network2HP,main,1,,,,,,,"..._-_-_[//:::_-]_""_/-.?=%%%...%-%.%%%%%%%%%%%.%%%",1,"http%3A%2F%2F96.55.197.75%2Fwp-admin%2Fcomment.php%3Faction%3Ddeletecomment%26p%3D14%26c%3D%2527%253E%253Escript%253Ealert%28document.cookie%29%253C%2Fscript%253E",,,"access_log","access_log",RazLT,,,,,,,,,44,18,,,,
,,"96.55.197.75 - - [24/May/2014:23:56:48 -0700] ""GET /wp-admin/comment.php?action=deletecomment&p=14&c=%27%3E%3Escript%3Ealert(document.cookie)%3C/script%3E HTTP/1.1"" 302 20","2014-05-24T23:56:48.000-0700",deletecomment,,,"%27%3E%3Escript%3Ealert(document.cookie)%3C/script%3E",,"96.55.197.75",,23,24,56,may,48,saturday,2014,"-420",,,,Network2HP,main,1,,14,,,,,"..._-_-_[//:::_-]_""_/-/.?=&=&=%%%%(.)%/%_/.""__",,,,,"access_log","access_log",RazLT,,,,,,,,,44,18,,,,
,,"96.55.197.75 - - [24/May/2014:23:53:46 -0700] ""GET /favicon.ico HTTP/1.1"" 200 -","2014-05-24T23:53:46.000-0700",,,,,,"96.55.197.75",,23,24,53,may,46,saturday,2014,"-420",,,,Network2HP,main,1,,,,,,,"..._-_-_[//:::_-]_""_/._/.""__-",,,,,"access_log","access_log",RazLT,,,,,,,,,44,18,,,,
,,"96.55.197.75 - - [24/May/2014:23:53:46 -0700] ""GET /favicon.ico HTTP/1.1"" 200 -","2014-05-24T23:53:46.000-0700",,,,,,"96.55.197.75",,23,24,53,may,46,saturday,2014,"-420",,,,Network2HP,main,1,,,,,,,"..._-_-_[//:::_-]_""_/._/.""__-",,,,,"access_log","access_log",RazLT,,,,,,,,,44,18,,,,
