"_raw","_time",app,clientip,"date_hour","date_mday","date_minute","date_month","date_second","date_wday","date_year","date_zone",eventtype,host,index,linecount,pid,process,protocol,punct,source,sourcetype,"splunk_server","splunk_server_group",tag,"tag::eventtype",timeendpos,timestartpos
"187.172.28.112 - - [13/Jun/2014:13:43:31 -0700] ""GET /myadmin/scripts/setup.php HTTP/1.1"" 404 5610","2014-06-13T13:43:31.000-0700",,"187.172.28.112",13,13,43,june,31,friday,2014,"-420",,Network2HP,main,1,,,,"..._-_-_[//:::_-]_""_///._/.""__","access_log","access_log",RazLT,,,,46,20
"187.172.28.112 - - [13/Jun/2014:13:43:31 -0700] ""GET /pma/scripts/setup.php HTTP/1.1"" 404 5610","2014-06-13T13:43:31.000-0700",,"187.172.28.112",13,13,43,june,31,friday,2014,"-420",,Network2HP,main,1,,,,"..._-_-_[//:::_-]_""_///._/.""__","access_log","access_log",RazLT,,,,46,20
"187.172.28.112 - - [13/Jun/2014:13:43:30 -0700] ""GET /phpMyAdmin/scripts/setup.php HTTP/1.1"" 404 5610","2014-06-13T13:43:30.000-0700",,"187.172.28.112",13,13,43,june,30,friday,2014,"-420",,Network2HP,main,1,,,,"..._-_-_[//:::_-]_""_///._/.""__","access_log","access_log",RazLT,,,,46,20
"200.8.99.3 - - [12/Jun/2014:13:55:03 -0700] ""GET /myadmin/scripts/setup.php HTTP/1.1"" 404 5610","2014-06-12T13:55:03.000-0700",,"200.8.99.3",13,12,55,june,3,thursday,2014,"-420",,Network2HP,main,1,,,,"..._-_-_[//:::_-]_""_///._/.""__","access_log","access_log",RazLT,,,,42,16
"200.8.99.3 - - [12/Jun/2014:13:55:02 -0700] ""GET /pma/scripts/setup.php HTTP/1.1"" 404 5610","2014-06-12T13:55:02.000-0700",,"200.8.99.3",13,12,55,june,2,thursday,2014,"-420",,Network2HP,main,1,,,,"..._-_-_[//:::_-]_""_///._/.""__","access_log","access_log",RazLT,,,,42,16
"200.8.99.3 - - [12/Jun/2014:13:55:01 -0700] ""GET /phpMyAdmin/scripts/setup.php HTTP/1.1"" 404 5610","2014-06-12T13:55:01.000-0700",,"200.8.99.3",13,12,55,june,1,thursday,2014,"-420",,Network2HP,main,1,,,,"..._-_-_[//:::_-]_""_///._/.""__","access_log","access_log",RazLT,,,,42,16
"61.191.62.7 - - [12/Jun/2014:12:34:46 -0700] ""GET //MySQLAdmin/scripts/setup.php HTTP/1.1"" 301 20","2014-06-12T12:34:46.000-0700",,"61.191.62.7",12,12,34,june,46,thursday,2014,"-420",,Network2HP,main,1,,,,"..._-_-_[//:::_-]_""_////._/.""__","access_log","access_log",RazLT,,,,43,17
"61.191.62.7 - - [12/Jun/2014:12:34:45 -0700] ""GET //MySQLAdmin/scripts/setup.php HTTP/1.1"" 301 20","2014-06-12T12:34:45.000-0700",,"61.191.62.7",12,12,34,june,45,thursday,2014,"-420",,Network2HP,main,1,,,,"..._-_-_[//:::_-]_""_////._/.""__","access_log","access_log",RazLT,,,,43,17
"61.191.62.7 - - [12/Jun/2014:12:34:45 -0700] ""GET //pHpMyAdMiN/scripts/setup.php HTTP/1.1"" 301 20","2014-06-12T12:34:45.000-0700",,"61.191.62.7",12,12,34,june,45,thursday,2014,"-420",,Network2HP,main,1,,,,"..._-_-_[//:::_-]_""_////._/.""__","access_log","access_log",RazLT,,,,43,17
"61.191.62.7 - - [12/Jun/2014:12:34:45 -0700] ""GET //MySQLAdmin/scripts/setup.php HTTP/1.1"" 301 20","2014-06-12T12:34:45.000-0700",,"61.191.62.7",12,12,34,june,45,thursday,2014,"-420",,Network2HP,main,1,,,,"..._-_-_[//:::_-]_""_////._/.""__","access_log","access_log",RazLT,,,,43,17
"61.191.62.7 - - [12/Jun/2014:12:34:45 -0700] ""GET //MySQLAdmin/scripts/setup.php HTTP/1.1"" 301 20","2014-06-12T12:34:45.000-0700",,"61.191.62.7",12,12,34,june,45,thursday,2014,"-420",,Network2HP,main,1,,,,"..._-_-_[//:::_-]_""_////._/.""__","access_log","access_log",RazLT,,,,43,17
"61.191.62.7 - - [12/Jun/2014:12:34:45 -0700] ""GET //MySQLAdmin/scripts/setup.php HTTP/1.1"" 301 20","2014-06-12T12:34:45.000-0700",,"61.191.62.7",12,12,34,june,45,thursday,2014,"-420",,Network2HP,main,1,,,,"..._-_-_[//:::_-]_""_////._/.""__","access_log","access_log",RazLT,,,,43,17
"61.191.62.7 - - [12/Jun/2014:12:34:44 -0700] ""GET //pHpMyAdMiN/scripts/setup.php HTTP/1.1"" 301 20","2014-06-12T12:34:44.000-0700",,"61.191.62.7",12,12,34,june,44,thursday,2014,"-420",,Network2HP,main,1,,,,"..._-_-_[//:::_-]_""_////._/.""__","access_log","access_log",RazLT,,,,43,17
