City,Country,GID,Mfr,Product,Region,SerialNumber,UID,"_raw","_time",accnt,acct,action,addr,app,auid,bytes,category,cipher,classification,clientip,comm,cookie,"date_hour","date_mday","date_minute","date_month","date_second","date_wday","date_year","date_zone",dbname,"dest_ip","dest_port",direction,euid,eventtype,exe,file,format,fp,"generator_id",home,host,hostname,id,idProduct,idVendor,ident,index,jscallback,kind,ksize,laddr,lat,linecount,lon,lport,mac,method,msg,name,op,other,p,"page_id",pid,priority,process,proto,protocol,punct,referer,"referer_domain","req_time",res,rhost,root,rport,ses,severity,shell,signature,"signature_rev",software,source,sourcetype,spid,"splunk_server","splunk_server_group","src_ip","src_port",srcaddr,status,suid,surveyid,swVersion,tag,"tag::eventtype",terminal,timeendpos,timestartpos,tty,type,uid,uri,"uri_domain","uri_path","uri_query",user,useragent,ver,version,x,x00type,"x_info","x_pid"
Wixom,"United States",,,,Michigan,,,"76.122.163.179 - - [23/Jun/2014:09:45:10 -0700] ""GET /HNAP1/ HTTP/1.1"" 404 204 ""http://69.50.163.209/"" ""Mozilla/4.0 (compatible; MSIE 6.0; Win32) WebWasher 3.0""","2014-06-23T09:45:10.000-0700",,,,,,,204,,,,"76.122.163.179",,,9,23,45,june,10,monday,2014,"-420",,,,,,,,,,,,,Network3HP,,,,,"-",main,,,,,"42.52000",1,"-83.55170",,,GET,,,,,,,,,,,,"..._-_-_[//:::_-]_""_//_/.""___""://.../""_""/._(;__.;_","http://69.50.163.209/","http://69.50.163.209","23/Jun/2014:09:45:10 -0700",,,HNAP1,,,,,,,,"access_log_all","access_combined",,RazLT,,,,"76.122.163.179",404,,,,,,,46,20,,,,"/HNAP1/",,"/HNAP1/",,"-","Mozilla/4.0 (compatible; MSIE 6.0; Win32) WebWasher 3.0",,"HTTP/1.1",,,,
Beijing,China,,,,"Beijing Shi",,,"115.28.133.80 - - [23/Jun/2014:08:05:23 -0700] ""GET http://hotel.qunar.com/render/hoteldiv.jsp?&__jscallback=XQScript_4 HTTP/1.1"" 404 217 ""http://hotel.qunar.com/"" ""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36""","2014-06-23T08:05:23.000-0700",,,,,,,217,,,,"115.28.133.80",,,8,23,5,june,23,monday,2014,"-420",,,,,,,,"hoteldiv.jsp",,,,,Network3HP,,,,,"-",main,"XQScript_4",,,,"39.92890",1,"116.38830",,,GET,,,,,,,,,,,,"..._-_-_[//:::_-]_""_://..//.?&=_/.""___""://../""_""/.","http://hotel.qunar.com/","http://hotel.qunar.com","23/Jun/2014:08:05:23 -0700",,,render,,,,,,,,"access_log_all","access_combined",,RazLT,,,,"115.28.133.80",404,,,,,,,45,19,,,,"http://hotel.qunar.com/render/hoteldiv.jsp?&__jscallback=XQScript_4","http://hotel.qunar.com","/render/hoteldiv.jsp","&__jscallback=XQScript_4","-","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36",,"HTTP/1.1",,,,
Burlington,Canada,,,,Ontario,,,"72.38.183.74 - - [23/Jun/2014:00:40:23 -0700] ""GET /HNAP1/ HTTP/1.1"" 404 204 ""http://69.50.163.209/"" ""Opera/6.x (Linux 2.4.8-26mdk i686; U) [en]""","2014-06-23T00:40:23.000-0700",,,,,,,204,,,,"72.38.183.74",,,0,23,40,june,23,monday,2014,"-420",,,,,,,,,,,,,Network3HP,,,,,"-",main,,,,,"43.32740",1,"-79.79890",,,GET,,,,,,,,,,,,"..._-_-_[//:::_-]_""_//_/.""___""://.../""_""/._(_..-_;","http://69.50.163.209/","http://69.50.163.209","23/Jun/2014:00:40:23 -0700",,,HNAP1,,,,,,,,"access_log_all","access_combined",,RazLT,,,,"72.38.183.74",404,,,,,,,44,18,,,,"/HNAP1/",,"/HNAP1/",,"-","Opera/6.x (Linux 2.4.8-26mdk i686; U) [en]",,"HTTP/1.1",,,,
"",Netherlands,,,,"",,,"94.102.49.31 - - [22/Jun/2014:19:51:23 -0700] ""GET /scripts/setup.php HTTP/1.1"" 404 215 ""-"" ""ZmEu""","2014-06-22T19:51:23.000-0700",,,,,,,215,,,,"94.102.49.31",,,19,22,51,june,23,sunday,2014,"-420",,,,,,,,"setup.php",,,,,Network3HP,,,,,"-",main,,,,,"52.50000",1,"5.75000",,,GET,,,,,,,,,,,,"..._-_-_[//:::_-]_""_//._/.""___""-""_""""","-",,"22/Jun/2014:19:51:23 -0700",,,scripts,,,,,,,,"access_log_all","access_combined",,RazLT,,,,"94.102.49.31",404,,,,,,,44,18,,,,"/scripts/setup.php",,"/scripts/setup.php",,"-",ZmEu,,"HTTP/1.1",,,,
"",Netherlands,,,,"",,,"94.102.49.31 - - [22/Jun/2014:19:51:23 -0700] ""GET /mysqladmin/scripts/setup.php HTTP/1.1"" 404 226 ""-"" ""ZmEu""","2014-06-22T19:51:23.000-0700",,,,,,,226,,,,"94.102.49.31",,,19,22,51,june,23,sunday,2014,"-420",,,,,,,,"setup.php",,,,,Network3HP,,,,,"-",main,,,,,"52.50000",1,"5.75000",,,GET,,,,,,,,,,,,"..._-_-_[//:::_-]_""_///._/.""___""-""_""""","-",,"22/Jun/2014:19:51:23 -0700",,,mysqladmin,,,,,,,,"access_log_all","access_combined",,RazLT,,,,"94.102.49.31",404,,,,,,,44,18,,,,"/mysqladmin/scripts/setup.php",,"/mysqladmin/scripts/setup.php",,"-",ZmEu,,"HTTP/1.1",,,,
"",Netherlands,,,,"",,,"94.102.49.31 - - [22/Jun/2014:19:51:23 -0700] ""GET /MyAdmin/scripts/setup.php HTTP/1.1"" 404 223 ""-"" ""ZmEu""","2014-06-22T19:51:23.000-0700",,,,,,,223,,,,"94.102.49.31",,,19,22,51,june,23,sunday,2014,"-420",,,,,,,,"setup.php",,,,,Network3HP,,,,,"-",main,,,,,"52.50000",1,"5.75000",,,GET,,,,,,,,,,,,"..._-_-_[//:::_-]_""_///._/.""___""-""_""""","-",,"22/Jun/2014:19:51:23 -0700",,,MyAdmin,,,,,,,,"access_log_all","access_combined",,RazLT,,,,"94.102.49.31",404,,,,,,,44,18,,,,"/MyAdmin/scripts/setup.php",,"/MyAdmin/scripts/setup.php",,"-",ZmEu,,"HTTP/1.1",,,,
"",Netherlands,,,,"",,,"94.102.49.31 - - [22/Jun/2014:19:51:22 -0700] ""GET /myadmin/scripts/setup.php HTTP/1.1"" 404 223 ""-"" ""ZmEu""","2014-06-22T19:51:22.000-0700",,,,,,,223,,,,"94.102.49.31",,,19,22,51,june,22,sunday,2014,"-420",,,,,,,,"setup.php",,,,,Network3HP,,,,,"-",main,,,,,"52.50000",1,"5.75000",,,GET,,,,,,,,,,,,"..._-_-_[//:::_-]_""_///._/.""___""-""_""""","-",,"22/Jun/2014:19:51:22 -0700",,,myadmin,,,,,,,,"access_log_all","access_combined",,RazLT,,,,"94.102.49.31",404,,,,,,,44,18,,,,"/myadmin/scripts/setup.php",,"/myadmin/scripts/setup.php",,"-",ZmEu,,"HTTP/1.1",,,,
"",Netherlands,,,,"",,,"94.102.49.31 - - [22/Jun/2014:19:51:22 -0700] ""GET /pma/scripts/setup.php HTTP/1.1"" 404 219 ""-"" ""ZmEu""","2014-06-22T19:51:22.000-0700",,,,,,,219,,,,"94.102.49.31",,,19,22,51,june,22,sunday,2014,"-420",,,,,,,,"setup.php",,,,,Network3HP,,,,,"-",main,,,,,"52.50000",1,"5.75000",,,GET,,,,,,,,,,,,"..._-_-_[//:::_-]_""_///._/.""___""-""_""""","-",,"22/Jun/2014:19:51:22 -0700",,,pma,,,,,,,,"access_log_all","access_combined",,RazLT,,,,"94.102.49.31",404,,,,,,,44,18,,,,"/pma/scripts/setup.php",,"/pma/scripts/setup.php",,"-",ZmEu,,"HTTP/1.1",,,,
"",Netherlands,,,,"",,,"94.102.49.31 - - [22/Jun/2014:19:51:22 -0700] ""GET /phpmyadmin/scripts/setup.php HTTP/1.1"" 404 226 ""-"" ""ZmEu""","2014-06-22T19:51:22.000-0700",,,,,,,226,,,,"94.102.49.31",,,19,22,51,june,22,sunday,2014,"-420",,,,,,,,"setup.php",,,,,Network3HP,,,,,"-",main,,,,,"52.50000",1,"5.75000",,,GET,,,,,,,,,,,,"..._-_-_[//:::_-]_""_///._/.""___""-""_""""","-",,"22/Jun/2014:19:51:22 -0700",,,phpmyadmin,,,,,,,,"access_log_all","access_combined",,RazLT,,,,"94.102.49.31",404,,,,,,,44,18,,,,"/phpmyadmin/scripts/setup.php",,"/phpmyadmin/scripts/setup.php",,"-",ZmEu,,"HTTP/1.1",,,,
"",Netherlands,,,,"",,,"94.102.49.31 - - [22/Jun/2014:19:51:21 -0700] ""GET /phpMyAdmin/scripts/setup.php HTTP/1.1"" 404 226 ""-"" ""ZmEu""","2014-06-22T19:51:21.000-0700",,,,,,,226,,,,"94.102.49.31",,,19,22,51,june,21,sunday,2014,"-420",,,,,,,,"setup.php",,,,,Network3HP,,,,,"-",main,,,,,"52.50000",1,"5.75000",,,GET,,,,,,,,,,,,"..._-_-_[//:::_-]_""_///._/.""___""-""_""""","-",,"22/Jun/2014:19:51:21 -0700",,,phpMyAdmin,,,,,,,,"access_log_all","access_combined",,RazLT,,,,"94.102.49.31",404,,,,,,,44,18,,,,"/phpMyAdmin/scripts/setup.php",,"/phpMyAdmin/scripts/setup.php",,"-",ZmEu,,"HTTP/1.1",,,,
