City,Country,Region,"_raw","_time",accnt,acct,addr,app,auid,bytes,cipher,clientip,cookie,"date_hour","date_mday","date_minute","date_month","date_second","date_wday","date_year","date_zone",direction,euid,eventtype,exe,file,fp,host,hostname,id,ident,index,kind,ksize,laddr,lat,linecount,lon,lport,mac,method,msg,name,op,other,pid,process,protocol,punct,referer,"referer_domain","req_time",res,rhost,root,rport,ses,source,sourcetype,spid,"splunk_server","splunk_server_group",srcaddr,status,suid,tag,"tag::eventtype",terminal,timeendpos,timestartpos,tty,type,uid,uri,"uri_domain","uri_path","uri_query",user,useragent,version
Ottawa,Canada,Ontario,"198.103.167.20 - - [23/Jun/2014:16:16:43 -0700] ""GET /blog/wp-content/uploads/2014/06/QuestionMark-290x300.jpg HTTP/1.1"" 304 - ""-"" ""Mozilla/4.0 (compatible;)""","2014-06-23T16:16:43.000-0700",,,,,,"-",,"198.103.167.20",,16,23,16,june,43,monday,2014,"-420",,,,,"QuestionMark-290x300.jpg",,Network3HP,,,"-",main,,,,"45.41670",1,"-75.70000",,,GET,,,,,,,,"..._-_-_[//:::_-]_""_//-////-._/.""__-_""-""_""/._(;)""","-",,"23/Jun/2014:16:16:43 -0700",,,blog,,,"access_log_all","access_combined",,RazLT,,"198.103.167.20",304,,,,,46,20,,,,"/blog/wp-content/uploads/2014/06/QuestionMark-290x300.jpg",,"/blog/wp-content/uploads/2014/06/QuestionMark-290x300.jpg",,"-","Mozilla/4.0 (compatible;)","HTTP/1.1"
Ottawa,Canada,Ontario,"198.103.167.20 - - [23/Jun/2014:16:03:16 -0700] ""GET /blog/wp-content/uploads/2014/06/JoanBaez.jpg HTTP/1.1"" 304 - ""-"" ""Mozilla/4.0 (compatible;)""","2014-06-23T16:03:16.000-0700",,,,,,"-",,"198.103.167.20",,16,23,3,june,16,monday,2014,"-420",,,,,"JoanBaez.jpg",,Network3HP,,,"-",main,,,,"45.41670",1,"-75.70000",,,GET,,,,,,,,"..._-_-_[//:::_-]_""_//-////._/.""__-_""-""_""/._(;)""","-",,"23/Jun/2014:16:03:16 -0700",,,blog,,,"access_log_all","access_combined",,RazLT,,"198.103.167.20",304,,,,,46,20,,,,"/blog/wp-content/uploads/2014/06/JoanBaez.jpg",,"/blog/wp-content/uploads/2014/06/JoanBaez.jpg",,"-","Mozilla/4.0 (compatible;)","HTTP/1.1"
Ottawa,Canada,Ontario,"198.103.167.20 - - [23/Jun/2014:15:59:19 -0700] ""GET /blog/wp-content/uploads/2014/06/TinyTim-199x300.jpg HTTP/1.1"" 304 - ""-"" ""Mozilla/4.0 (compatible;)""","2014-06-23T15:59:19.000-0700",,,,,,"-",,"198.103.167.20",,15,23,59,june,19,monday,2014,"-420",,,,,"TinyTim-199x300.jpg",,Network3HP,,,"-",main,,,,"45.41670",1,"-75.70000",,,GET,,,,,,,,"..._-_-_[//:::_-]_""_//-////-._/.""__-_""-""_""/._(;)""","-",,"23/Jun/2014:15:59:19 -0700",,,blog,,,"access_log_all","access_combined",,RazLT,,"198.103.167.20",304,,,,,46,20,,,,"/blog/wp-content/uploads/2014/06/TinyTim-199x300.jpg",,"/blog/wp-content/uploads/2014/06/TinyTim-199x300.jpg",,"-","Mozilla/4.0 (compatible;)","HTTP/1.1"
Ottawa,Canada,Ontario,"198.103.167.20 - - [23/Jun/2014:14:21:47 -0700] ""GET /blog/wp-content/uploads/2014/06/HaroldHeddText-199x300.jpg HTTP/1.1"" 304 - ""-"" ""Mozilla/4.0 (compatible;)""","2014-06-23T14:21:47.000-0700",,,,,,"-",,"198.103.167.20",,14,23,21,june,47,monday,2014,"-420",,,,,"HaroldHeddText-199x300.jpg",,Network3HP,,,"-",main,,,,"45.41670",1,"-75.70000",,,GET,,,,,,,,"..._-_-_[//:::_-]_""_//-////-._/.""__-_""-""_""/._(;)""","-",,"23/Jun/2014:14:21:47 -0700",,,blog,,,"access_log_all","access_combined",,RazLT,,"198.103.167.20",304,,,,,46,20,,,,"/blog/wp-content/uploads/2014/06/HaroldHeddText-199x300.jpg",,"/blog/wp-content/uploads/2014/06/HaroldHeddText-199x300.jpg",,"-","Mozilla/4.0 (compatible;)","HTTP/1.1"
Ottawa,Canada,Ontario,"198.103.167.20 - - [23/Jun/2014:11:34:39 -0700] ""GET /blog/wp-content/uploads/2014/06/JohnLennonText1.jpg HTTP/1.1"" 304 - ""-"" ""Mozilla/4.0 (compatible;)""","2014-06-23T11:34:39.000-0700",,,,,,"-",,"198.103.167.20",,11,23,34,june,39,monday,2014,"-420",,,,,"JohnLennonText1.jpg",,Network3HP,,,"-",main,,,,"45.41670",1,"-75.70000",,,GET,,,,,,,,"..._-_-_[//:::_-]_""_//-////._/.""__-_""-""_""/._(;)""","-",,"23/Jun/2014:11:34:39 -0700",,,blog,,,"access_log_all","access_combined",,RazLT,,"198.103.167.20",304,,,,,46,20,,,,"/blog/wp-content/uploads/2014/06/JohnLennonText1.jpg",,"/blog/wp-content/uploads/2014/06/JohnLennonText1.jpg",,"-","Mozilla/4.0 (compatible;)","HTTP/1.1"
Ottawa,Canada,Ontario,"198.103.167.20 - - [23/Jun/2014:07:36:18 -0700] ""GET /blog/wp-content/uploads/2014/06/TimothyLeary-227x300.jpg HTTP/1.1"" 304 - ""-"" ""Mozilla/4.0 (compatible;)""","2014-06-23T07:36:18.000-0700",,,,,,"-",,"198.103.167.20",,7,23,36,june,18,monday,2014,"-420",,,,,"TimothyLeary-227x300.jpg",,Network3HP,,,"-",main,,,,"45.41670",1,"-75.70000",,,GET,,,,,,,,"..._-_-_[//:::_-]_""_//-////-._/.""__-_""-""_""/._(;)""","-",,"23/Jun/2014:07:36:18 -0700",,,blog,,,"access_log_all","access_combined",,RazLT,,"198.103.167.20",304,,,,,46,20,,,,"/blog/wp-content/uploads/2014/06/TimothyLeary-227x300.jpg",,"/blog/wp-content/uploads/2014/06/TimothyLeary-227x300.jpg",,"-","Mozilla/4.0 (compatible;)","HTTP/1.1"
Vancouver,Canada,"British Columbia","75.157.6.5 - - [23/Jun/2014:06:28:08 -0700] ""GET /favicon.ico HTTP/1.1"" 404 209 ""http://hippielife.ca/blog/"" ""Mozilla/5.0 (Linux; U; Android 4.0.4; en-ca; GT-S7560M Build/IMM76I) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30""","2014-06-23T06:28:08.000-0700",,,,,,209,,"75.157.6.5",,6,23,28,june,8,monday,2014,"-420",,,,,"favicon.ico",,Network3HP,,,"-",main,,,,"49.28480",1,"-123.12280",,,GET,,,,,,,,"..._-_-_[//:::_-]_""_/._/.""___""://.//""_""/._(;_;__..","http://hippielife.ca/blog/","http://hippielife.ca","23/Jun/2014:06:28:08 -0700",,,,,,"access_log_all","access_combined",,RazLT,,"75.157.6.5",404,,,,,42,16,,,,"/favicon.ico",,"/favicon.ico",,"-","Mozilla/5.0 (Linux; U; Android 4.0.4; en-ca; GT-S7560M Build/IMM76I) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30","HTTP/1.1"
Vancouver,Canada,"British Columbia","75.157.6.5 - - [23/Jun/2014:06:28:04 -0700] ""GET /blog/ HTTP/1.1"" 200 9189 ""-"" ""Mozilla/5.0 (Linux; U; Android 4.0.4; en-ca; GT-S7560M Build/IMM76I) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30""","2014-06-23T06:28:04.000-0700",,,,,,9189,,"75.157.6.5",,6,23,28,june,4,monday,2014,"-420",,,,,,,Network3HP,,,"-",main,,,,"49.28480",1,"-123.12280",,,GET,,,,,,,,"..._-_-_[//:::_-]_""_//_/.""___""-""_""/._(;_;__..;_-;_","-",,"23/Jun/2014:06:28:04 -0700",,,blog,,,"access_log_all","access_combined",,RazLT,,"75.157.6.5",200,,,,,42,16,,,,"/blog/",,"/blog/",,"-","Mozilla/5.0 (Linux; U; Android 4.0.4; en-ca; GT-S7560M Build/IMM76I) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30","HTTP/1.1"
Ottawa,Canada,Ontario,"198.103.167.20 - - [23/Jun/2014:05:59:42 -0700] ""GET /blog/wp-content/uploads/2014/06/JoanBaezText.jpg HTTP/1.1"" 304 - ""-"" ""Mozilla/4.0 (compatible;)""","2014-06-23T05:59:42.000-0700",,,,,,"-",,"198.103.167.20",,5,23,59,june,42,monday,2014,"-420",,,,,"JoanBaezText.jpg",,Network3HP,,,"-",main,,,,"45.41670",1,"-75.70000",,,GET,,,,,,,,"..._-_-_[//:::_-]_""_//-////._/.""__-_""-""_""/._(;)""","-",,"23/Jun/2014:05:59:42 -0700",,,blog,,,"access_log_all","access_combined",,RazLT,,"198.103.167.20",304,,,,,46,20,,,,"/blog/wp-content/uploads/2014/06/JoanBaezText.jpg",,"/blog/wp-content/uploads/2014/06/JoanBaezText.jpg",,"-","Mozilla/4.0 (compatible;)","HTTP/1.1"
Ottawa,Canada,Ontario,"198.103.167.20 - - [23/Jun/2014:04:24:29 -0700] ""GET /blog/wp-content/uploads/2014/06/JanisJoplin.jpg HTTP/1.1"" 304 - ""-"" ""Mozilla/4.0 (compatible;)""","2014-06-23T04:24:29.000-0700",,,,,,"-",,"198.103.167.20",,4,23,24,june,29,monday,2014,"-420",,,,,"JanisJoplin.jpg",,Network3HP,,,"-",main,,,,"45.41670",1,"-75.70000",,,GET,,,,,,,,"..._-_-_[//:::_-]_""_//-////._/.""__-_""-""_""/._(;)""","-",,"23/Jun/2014:04:24:29 -0700",,,blog,,,"access_log_all","access_combined",,RazLT,,"198.103.167.20",304,,,,,46,20,,,,"/blog/wp-content/uploads/2014/06/JanisJoplin.jpg",,"/blog/wp-content/uploads/2014/06/JanisJoplin.jpg",,"-","Mozilla/4.0 (compatible;)","HTTP/1.1"
